,ConsentNo,ConsentStatus,fmDate,toDate,HolderAddressFullName,HolderEcanID,ChildAuthorisations,ParentAuthorisations,ParentorChild,ParentChildConsent,CWMSZone,AdMan,TotalInspections,LatestInspection,CountNonCompliance,LatestNonComplianceDate,WAPsOnConsent,CombinedConProRataRate,WAP,WellStatus,SharedMeter,MaxRateSharedWAP,CombinedWAPProRataRate,ConsentsOnWAP,ECsOnWAP,MetersInstalled,DataLoggersInstalled,LatestVerification,VerificationOutOfDate,WaiverEditDate,Waiver,T_AnnualVolume,T_LatestData,T_DaysOfData,T_MetersRecieved,T_AverageDaysOfData,T_AverageMissingDays,WAPProject,Activity,ConsentAnnualVol,ConsentRate,ConsentNVol,ConsentNDay,FishScreen,ComplexAllocations,HasALowflowRestrictionCondition,ConsentLimit,WAPRate,MaxRateProRata,WAPFromMonth,WAPToMonth,WAPNVol,WAPNDay,WAPLimit,FEVolume,CS_ID,CS_ErrorMSG,CS_DaysAboveNday,CS_PercentAnnualVolume,CS_TimeAboveRate,CS_MaxRate,CS_MedianRateAbove,CS_PercentMaxRate,CS_PercentMedRate,WS_ID,WS_MeterName,WS_ErrorMsg,WS_DaysAboveNday,WS_TimeAboveRate,WS_MaxRate,WS_MedianRateAbove,TotalMissingRecord,WS_PercentMaxRoT,WS_PercentMedRate
0,CRC011245,Issued - Active,2008-04-16,2043-04-16,Rangitata Diversion Race Management Limited,EC114929,CRC200187,,nan, ,Ashburton,,4.0,2018-11-07,0.0,,1,7100.0,K36/0920,Active,No,7100.0,7100.0,1,1,3.0,3.0,2017-08-09,No,,No,44515323.0,2019-06-30,365.0,3.0,121.0,244.0,,take surface water,0.0,7100.0,0.0,0.0,NO,"Multiple water permit types (Take, Divert, Dam)",Yes,1,7100.0,,Jul,Jun,,,1,223292160.0,23204,,,,3159.0237966068585,105122.40527343754,10125.903859518738,1480.5972573723598,142.61836421857376,26609.0,K36/0920-M1,,365.0,3159.0237966068585,105122.40527343754,10125.903859518738,0.0,1480.5972573723598,142.61836421857376
1,CRC012006,Issued - Active,2002-12-10,2037-12-10,Selwyn District Council,EC118692,,,nan, ,Selwyn - Waihora,,3.0,2019-04-12,1.0,2018-05-24,1,2500.0,M35/11216,Active,No,2500.0,2500.0,1,1,1.0,1.0,2019-07-09,No,,No,39057575.0,2019-06-29,364.0,1.0,364.0,1.0,,take surface water,0.0,2500.0,0.0,0.0,YES,Multiple allocation blocks,Yes,1,1231.0,,Jul,Jun,,,1,32432000.0,24315,,,,8609.389776052767,5169.925643921086,3582.003889494481,206.79702575684345,143.28015557977923,28287.0,M35/11216-M1,,364.0,3798.718357973761,1723.3085479736121,1444.339333400773,0.041666666666666664,139.99257091580927,117.33057135668344
2,CRC082345,Issued - Active,2009-05-19,2044-05-19,Mayfield Hinds Irrigation Society Limited,EC114622,,,nan, ,Ashburton,,1.0,2018-09-24,0.0,,2,15200.0,K37/3283,Active,No,5700.0,5700.0,1,1,,,,,,,,,,,,365.0,,take surface water,0.0,15200.0,0.0,0.0,No,No,No,1,5700.0,,Jul,Jun,,,1,278415360.0,18094,No data for K37/3283-M1+K37/3284-M1,,,,,,,,18720.0,,No data for K37/3283.,,,,,,,
3,CRC082345,Issued - Active,2009-05-19,2044-05-19,Mayfield Hinds Irrigation Society Limited,EC114622,,,nan, ,Ashburton,,1.0,2018-09-24,0.0,,2,15200.0,K37/3284,Active,No,9500.0,9500.0,1,1,,,,,,,,,,,,365.0,,take surface water,0.0,15200.0,0.0,0.0,No,No,No,1,9500.0,,Jul,Jun,,,1,278415360.0,18094,No data for K37/3283-M1+K37/3284-M1,,,,,,,,18721.0,,No data for K37/3284.,,,,,,,
4,CRC134849,Issued - Active,2016-04-21,2051-04-21,Wairewa Runanga Inc & Christchurch City Council,EC313977,,,nan, ,Banks Peninsula,,1.0,2019-01-10,0.0,,1,150000.0,BY24/0006,Active,No,150000.0,150000.0,1,1,,,,,,No,,,,,,365.0,,take surface water,0.0,150000.0,0.0,0.0,NO,No,Yes,1,150000.0,,Jul,Jun,,,1,0.0,18553,No data for BY24/0006-M1,,,,,,,,19370.0,,No data for BY24/0006.,,,,,,,
5,CRC136234,Issued - Active,2013-05-27,2031-11-18,Central Plains Water Trust,EC107911,,CRC100581.1,nan, ,Waimakariri,,3.0,2018-11-22,0.0,,1,1000.0,L35/1089,Active,No,1000.0,1000.0,1,1,1.0,1.0,,,,No,,,,,,365.0,,take surface water,0.0,1000.0,0.0,0.0,YES,Poor Conditions,Yes,1,1000.0,,Jul,Jun,,,1,211680000.0,20974,No data for M34/5729.,,,,,,,,23055.0,L35/1089-M1,No data for M34/5729.,,,,,,,
6,CRC150232,Issued - Active,2018-07-05,2035-01-28,Barrhill Chertsey Irrigation Limited,EC257775,,CRC143165,nan, ,Ashburton,,4.0,2020-11-30,2.0,2019-01-08,4,17000.010000000002,K36/1037,Active,No,8000.0,4121.21,1,1,1.0,1.0,,,,No,12986174.0,2019-06-30,365.0,1.0,365.0,0.0,,take surface water,0.0,17000.0,,,YES,Poor Conditions,Yes,1,8000.0,,Jul,Jun,,,1,311385600.0,24129,,,,0.0,10604.508491866936,,62.37946171686433,,27994.0,K36/1037-M1,,365.0,0.0,6332.5,0.0,0.0,79.15625,0.0
7,CRC150232,Issued - Active,2018-07-05,2035-01-28,Barrhill Chertsey Irrigation Limited,EC257775,,CRC143165,nan, ,Ashburton,,4.0,2020-11-30,2.0,2019-01-08,4,17000.010000000002,BX21/0040,Active,No,5000.0,7575.76,2,2,1.0,1.0,2016-05-03,No,,No,52610325.0,2019-06-30,365.0,1.0,365.0,0.0,,take surface water,0.0,17000.0,,,YES,Poor Conditions,Yes,1,5000.0,,Jul,Jun,,,1,311385600.0,24129,,,,0.0,10604.508491866936,,62.37946171686433,,27993.0,BX21/0040-M1,,64.0,0.0,2888.774686859156,0.0,0.0,57.775493737183126,0.0
8,CRC150232,Issued - Active,2018-07-05,2035-01-28,Barrhill Chertsey Irrigation Limited,EC257775,,CRC143165,nan, ,Ashburton,,4.0,2020-11-30,2.0,2019-01-08,4,17000.010000000002,L36/2360,Active,No,3000.0,1545.46,1,1,2.0,2.0,2018-03-12,No,,No,20991060.0,2019-06-30,365.0,1.0,365.0,0.0,,take surface water,0.0,17000.0,,,YES,Poor Conditions,Yes,1,3000.0,,Jul,Jun,,,1,311385600.0,24129,,,,0.0,10604.508491866936,,62.37946171686433,,27996.0,L36/2360-M1,,365.0,0.0,2594.8749999999964,0.0,0.0,86.49583333333322,0.0
9,CRC150232,Issued - Active,2018-07-05,2035-01-28,Barrhill Chertsey Irrigation Limited,EC257775,,CRC143165,nan, ,Ashburton,,4.0,2020-11-30,2.0,2019-01-08,4,17000.010000000002,K36/1050,Active,No,17000.0,8757.58,1,1,1.0,1.0,,,,No,,,,,,365.0,,take surface water,0.0,17000.0,,,YES,Poor Conditions,Yes,1,17000.0,,Jul,Jun,,,1,311385600.0,24129,,,,0.0,10604.508491866936,,62.37946171686433,,27995.0,K36/1037-M1,No data for K36/1050.,,,,,,,
10,CRC155937,Issued - Active,2015-08-28,2028-11-05,Selwyn District Council,EC118692,,CRC147355,nan, ,Selwyn - Waihora,,6.0,2019-06-07,1.0,2018-05-24,9,3920.0,BW21/0007,Active,No,20.0,20.0,1,1,1.0,1.0,,,,No,,,,,,365.0,,take surface water,0.0,3920.0,0.0,0.0,YES,"Unclear/poorly constructed conditions (purpose, wording, structure)",Yes,1,20.0,,Jul,Jun,,,1,50803200.0,18995,,,,0.0,3631.686744689989,,92.64507001760177,,,,,,,,,,,
11,CRC155937,Issued - Active,2015-08-28,2028-11-05,Selwyn District Council,EC118692,,CRC147355,nan, ,Selwyn - Waihora,,6.0,2019-06-07,1.0,2018-05-24,9,3920.0,L35/1146,Active,No,800.0,800.0,1,1,1.0,1.0,2019-07-09,No,,No,13255180.0,2019-06-29,364.0,1.0,364.0,1.0,,take surface water,0.0,3920.0,0.0,0.0,YES,"Unclear/poorly constructed conditions (purpose, wording, structure)",Yes,1,700.0,,Jul,Jun,,,1,50803200.0,18995,,,,0.0,3631.686744689989,,92.64507001760177,,20140.0,L35/1146-M1,,364.0,6.835050297843085,741.9270553588855,726.014559697508,0.041666666666666664,105.98957933698362,103.71636567107258
12,CRC155937,Issued - Active,2015-08-28,2028-11-05,Selwyn District Council,EC118692,,CRC147355,nan, ,Selwyn - Waihora,,6.0,2019-06-07,1.0,2018-05-24,9,3920.0,L35/1149,Active,No,40.0,40.0,1,1,,,,,,No,,,,,,365.0,,take surface water,0.0,3920.0,0.0,0.0,YES,"Unclear/poorly constructed conditions (purpose, wording, structure)",Yes,1,40.0,,Jul,Jun,,,1,50803200.0,18995,,,,0.0,3631.686744689989,,92.64507001760177,,20143.0,L35/1146-M1,No data for L35/1149.,,,,,,,
13,CRC155937,Issued - Active,2015-08-28,2028-11-05,Selwyn District Council,EC118692,,CRC147355,nan, ,Selwyn - Waihora,,6.0,2019-06-07,1.0,2018-05-24,9,3920.0,L35/1023,Active,No,280.0,280.0,1,1,1.0,1.0,2018-11-30,No,,No,2721839.0,2019-06-28,221.0,1.0,221.0,144.0,,take surface water,0.0,3920.0,0.0,0.0,YES,"Unclear/poorly constructed conditions (purpose, wording, structure)",Yes,1,280.0,,Jul,Jun,,,1,50803200.0,18995,,,,0.0,3631.686744689989,,92.64507001760177,,20139.0,L35/1023-M1,Not enough continuous data to check 300 day take Allocation at L35/1023-M1 = 0 m3,,,,,,,
14,CRC155937,Issued - Active,2015-08-28,2028-11-05,Selwyn District Council,EC118692,,CRC147355,nan, ,Selwyn - Waihora,,6.0,2019-06-07,1.0,2018-05-24,9,3920.0,L35/1148,Active,No,500.0,500.0,1,1,,,,,,No,,,,,,365.0,,take surface water,0.0,3920.0,0.0,0.0,YES,"Unclear/poorly constructed conditions (purpose, wording, structure)",Yes,1,500.0,,Jul,Jun,,,1,50803200.0,18995,,,,0.0,3631.686744689989,,92.64507001760177,,20142.0,L35/1146-M1,No data for L35/1148.,,,,,,,
15,CRC155937,Issued - Active,2015-08-28,2028-11-05,Selwyn District Council,EC118692,,CRC147355,nan, ,Selwyn - Waihora,,6.0,2019-06-07,1.0,2018-05-24,9,3920.0,L35/1147,Active,No,500.0,500.0,1,1,,,,,,No,,,,,,365.0,,take surface water,0.0,3920.0,0.0,0.0,YES,"Unclear/poorly constructed conditions (purpose, wording, structure)",Yes,1,500.0,,Jul,Jun,,,1,50803200.0,18995,,,,0.0,3631.686744689989,,92.64507001760177,,20141.0,L35/1146-M1,No data for L35/1147.,,,,,,,
16,CRC155937,Issued - Active,2015-08-28,2028-11-05,Selwyn District Council,EC118692,,CRC147355,nan, ,Selwyn - Waihora,,6.0,2019-06-07,1.0,2018-05-24,9,3920.0,L35/1150,Active,No,60.0,60.0,1,1,1.0,1.0,2019-08-15,No,,No,,,,,,365.0,,take surface water,0.0,3920.0,0.0,0.0,YES,"Unclear/poorly constructed conditions (purpose, wording, structure)",Yes,1,60.0,,Jul,Jun,,,1,50803200.0,18995,,,,0.0,3631.686744689989,,92.64507001760177,,20144.0,L35/1146-M1,No data for L35/1150.,,,,,,,
17,CRC155937,Issued - Active,2015-08-28,2028-11-05,Selwyn District Council,EC118692,,CRC147355,nan, ,Selwyn - Waihora,,6.0,2019-06-07,1.0,2018-05-24,9,3920.0,L35/1022,Active,No,630.0,630.0,1,1,1.0,1.0,2016-12-20,No,,No,,,,,,365.0,,take surface water,0.0,3920.0,0.0,0.0,YES,"Unclear/poorly constructed conditions (purpose, wording, structure)",Yes,1,630.0,,Jul,Jun,,,1,50803200.0,18995,,,,0.0,3631.686744689989,,92.64507001760177,,20138.0,L35/1022-M1,No data for BW21/0007.,,,,,,,
18,CRC155937,Issued - Active,2015-08-28,2028-11-05,Selwyn District Council,EC118692,,CRC147355,nan, ,Selwyn - Waihora,,6.0,2019-06-07,1.0,2018-05-24,9,3920.0,L35/1021,Active,No,1090.0,1090.0,1,1,1.0,1.0,2019-07-09,No,,No,14842914.0,2019-06-29,364.0,1.0,364.0,1.0,,take surface water,0.0,3920.0,0.0,0.0,YES,"Unclear/poorly constructed conditions (purpose, wording, structure)",Yes,1,1090.0,,Jul,Jun,,,1,50803200.0,18995,,,,0.0,3631.686744689989,,92.64507001760177,,20145.0,L35/1021-M1,,364.0,0.0,698.7185897827143,0.0,0.041666666666666664,64.10262291584534,0.0
19,CRC162202,Issued - Active,2016-02-18,2035-01-28,Ashburton Community Water Trust,EC364827,,CRC093683,nan, ,Selwyn - Waihora,,2.0,2019-03-14,0.0,,2,40000.0,BX21/0040,Active,No,5000.0,7575.76,2,2,1.0,1.0,2016-05-03,No,,No,52610325.0,2019-06-30,365.0,1.0,365.0,0.0,,take surface water,0.0,40000.0,0.0,0.0,Yes,Poor Conditions,Yes,1,5000.0,,Jul,May,,,1,1257984000.0,25151,,,,0.0,2888.774686859156,,7.221936717147891,,29596.0,BX21/0040-M1,,64.0,0.0,2888.774686859156,0.0,0.0,57.775493737183126,0.0
20,CRC162202,Issued - Active,2016-02-18,2035-01-28,Ashburton Community Water Trust,EC364827,,CRC093683,nan, ,Selwyn - Waihora,,2.0,2019-03-14,0.0,,2,40000.0,K36/1027,Active,Yes,40000.0,35000.0,1,1,,,,,,,,,,,,365.0,,take surface water,0.0,40000.0,0.0,0.0,Yes,Poor Conditions,Yes,1,40000.0,,Jul,May,,,1,1257984000.0,25151,,,,0.0,2888.774686859156,,7.221936717147891,,29597.0,BX21/0040-M1,No data for K36/1027.,,,,,,,
21,CRC166677,Issued - Active,2016-04-08,2031-11-18,Waimakariri Irrigation Limited,EC111432,,,nan, ,Waimakariri,,5.0,2018-11-22,0.0,,1,11041.0,L35/0906,Active,No,11041.0,11041.0,1,1,1.0,1.0,2016-12-01,No,,No,281768.0,2019-06-30,365.0,1.0,365.0,0.0,,take surface water,0.0,11041.0,0.0,0.0,YES,No,Yes,1,11041.0,,Jul,Jun,,,1,135561592.0,24041,,,,0.0,48.999998304578995,,0.4438003650446426,,27872.0,L35/0906-M1,,365.0,0.0,48.999998304578995,0.0,0.0,0.4438003650446426,0.0
22,CRC167218,Issued - Active,2016-06-17,2047-07-25,Central Plains Water Trust,EC107911,,CRC160803,nan, ,Selwyn - Waihora,,6.0,2018-11-07,0.0,,1,33500.0,K36/0958,Active,No,40000.0,33500.0,1,1,1.0,1.0,2015-11-15,No,,No,103113695.0,2019-06-30,365.0,1.0,365.0,0.0,,take surface water,0.0,40000.0,0.0,0.0,Yes,Poor Conditions,Yes,1,40000.0,,Jul,Jun,,,1,390000000.0,25128,,,,0.0,23013.888888888887,,57.534722222222214,,29557.0,K36/0958-M1,,365.0,0.0,23013.888888888887,0.0,4.041666666666667,57.534722222222214,0.0
23,CRC169502,Issued - Active,2016-07-05,2032-02-27,Ashburton District Council,EC117558,,CRC165320,nan, ,Ashburton,,4.0,2019-08-20,3.0,2019-03-20,13,2931.0,BY20/0088,Active,No,120.0,120.0,1,1,,,,,,No,921771.0,2019-06-29,287.0,1.0,287.0,78.0,,take surface water,0.0,2931.0,0.0,0.0,NO,"Multiple water permit types (Take, Divert, Dam)",No,1,120.0,,Jul,Jun,,,1,37985760.0,22962,,,,0.0,1101.9034395217834,,37.59479493421301,,26230.0,BY20/0088-M1,,364.0,1270.766290746,156.5621852874756,145.6243973555654,0.010416666666666666,130.468487739563,121.35366446297118
24,CRC169502,Issued - Active,2016-07-05,2032-02-27,Ashburton District Council,EC117558,,CRC165320,nan, ,Ashburton,,4.0,2019-08-20,3.0,2019-03-20,13,2931.0,K36/1031,Active,No,2500.0,1955.0,1,1,1.0,1.0,,,,No,15690456.0,2019-06-29,364.0,1.0,364.0,1.0,,take surface water,0.0,2931.0,0.0,0.0,NO,"Multiple water permit types (Take, Divert, Dam)",No,1,2500.0,,Jul,Jun,,,1,37985760.0,22962,,,,0.0,1101.9034395217834,,37.59479493421301,,26233.0,K36/1031-M1,,364.0,0.0,0.0,0.0,0.010416666666666666,0.0,0.0
25,CRC169502,Issued - Active,2016-07-05,2032-02-27,Ashburton District Council,EC117558,,CRC165320,nan, ,Ashburton,,4.0,2019-08-20,3.0,2019-03-20,13,2931.0,K37/2788,Active,No,80.0,80.0,1,1,1.0,1.0,,,,,924395.0,2019-06-29,238.0,1.0,238.0,127.0,,take surface water,0.0,2931.0,0.0,0.0,NO,"Multiple water permit types (Take, Divert, Dam)",No,1,80.0,,Jul,Jun,,,1,37985760.0,22962,,,,0.0,1101.9034395217834,,37.59479493421301,,26236.0,K37/2788-M1,,364.0,131.2467771062586,101.875,83.86261127418425,0.010416666666666666,127.34375,104.82826409273032
26,CRC169502,Issued - Active,2016-07-05,2032-02-27,Ashburton District Council,EC117558,,CRC165320,nan, ,Ashburton,,4.0,2019-08-20,3.0,2019-03-20,13,2931.0,K37/2792,Active,No,200.0,200.0,1,1,,,,,,,,,,,,365.0,,take surface water,0.0,2931.0,0.0,0.0,NO,"Multiple water permit types (Take, Divert, Dam)",No,1,200.0,,Jul,Jun,,,1,37985760.0,22962,,,,0.0,1101.9034395217834,,37.59479493421301,,26239.0,K37/2789-M1,No data for K37/2792.,,,,,,,
27,CRC169502,Issued - Active,2016-07-05,2032-02-27,Ashburton District Council,EC117558,,CRC165320,nan, ,Ashburton,,4.0,2019-08-20,3.0,2019-03-20,13,2931.0,BY20/0087,Active,No,100.0,50.0,1,1,,,,,,No,,,,,,365.0,,take surface water,0.0,2931.0,0.0,0.0,NO,"Multiple water permit types (Take, Divert, Dam)",No,1,100.0,,Jul,Jun,,,1,37985760.0,22962,,,,0.0,1101.9034395217834,,37.59479493421301,,,,,,,,,,,
28,CRC169502,Issued - Active,2016-07-05,2032-02-27,Ashburton District Council,EC117558,,CRC165320,nan, ,Ashburton,,4.0,2019-08-20,3.0,2019-03-20,13,2931.0,K36/0905,Active,No,110.0,110.0,1,1,1.0,1.0,2019-02-05,No,,,2440118.0,2019-06-29,364.0,1.0,364.0,1.0,,take surface water,0.0,2931.0,0.0,0.0,NO,"Multiple water permit types (Take, Divert, Dam)",No,1,110.0,,Jul,Jun,,,1,37985760.0,22962,,,,0.0,1101.9034395217834,,37.59479493421301,,26232.0,K36/0905-M1,,364.0,179.08486656135983,148.30078697204598,116.88039254941168,0.010416666666666666,134.81889724731454,106.25490231764698
29,CRC169502,Issued - Active,2016-07-05,2032-02-27,Ashburton District Council,EC117558,,CRC165320,nan, ,Ashburton,,4.0,2019-08-20,3.0,2019-03-20,13,2931.0,K37/2787,Active,No,120.0,120.0,1,1,1.0,1.0,,,,,803607.0,2019-06-29,364.0,1.0,364.0,1.0,,take surface water,0.0,2931.0,0.0,0.0,NO,"Multiple water permit types (Take, Divert, Dam)",No,1,120.0,,Jul,Jun,,,1,37985760.0,22962,,,,0.0,1101.9034395217834,,37.59479493421301,,26235.0,K37/2787-M1,,364.0,0.0,0.0,0.0,0.010416666666666666,0.0,0.0
30,CRC169502,Issued - Active,2016-07-05,2032-02-27,Ashburton District Council,EC117558,,CRC165320,nan, ,Ashburton,,4.0,2019-08-20,3.0,2019-03-20,13,2931.0,BY20/0085,Active,No,100.0,50.0,1,1,,,,,,No,,,,,,365.0,,take surface water,0.0,2931.0,0.0,0.0,NO,"Multiple water permit types (Take, Divert, Dam)",No,1,100.0,,Jul,Jun,,,1,37985760.0,22962,,,,0.0,1101.9034395217834,,37.59479493421301,,,,,,,,,,,
31,CRC169502,Issued - Active,2016-07-05,2032-02-27,Ashburton District Council,EC117558,,CRC165320,nan, ,Ashburton,,4.0,2019-08-20,3.0,2019-03-20,13,2931.0,K36/0904,Active,No,40.0,40.0,1,1,,,,,,,90022.0,2019-06-28,349.0,1.0,349.0,16.0,,take surface water,0.0,2931.0,0.0,0.0,NO,"Multiple water permit types (Take, Divert, Dam)",No,1,40.0,,Jul,Jun,,,1,37985760.0,22962,,,,0.0,1101.9034395217834,,37.59479493421301,,26231.0,K36/0904-M1,,362.0,12.327865112225215,48.3561515013378,44.437774296660336,1.0,120.89037875334449,111.09443574165083
32,CRC169502,Issued - Active,2016-07-05,2032-02-27,Ashburton District Council,EC117558,,CRC165320,nan, ,Ashburton,,4.0,2019-08-20,3.0,2019-03-20,13,2931.0,K37/2790,Active,No,20.0,20.0,1,1,,,,,,,,,,,,365.0,,take surface water,0.0,2931.0,0.0,0.0,NO,"Multiple water permit types (Take, Divert, Dam)",No,1,20.0,,Jul,Jun,,,1,37985760.0,22962,,,,0.0,1101.9034395217834,,37.59479493421301,,26238.0,K37/2789-M1,No data for K37/2790.,,,,,,,
33,CRC169502,Issued - Active,2016-07-05,2032-02-27,Ashburton District Council,EC117558,,CRC165320,nan, ,Ashburton,,4.0,2019-08-20,3.0,2019-03-20,13,2931.0,K37/2786,Active,No,56.0,56.0,1,1,1.0,1.0,2019-01-22,No,,,1324356.0,2019-06-29,364.0,1.0,364.0,1.0,,take surface water,0.0,2931.0,0.0,0.0,NO,"Multiple water permit types (Take, Divert, Dam)",No,1,56.0,,Jul,Jun,,,1,37985760.0,22962,,,,0.0,1101.9034395217834,,37.59479493421301,,26234.0,K37/2786-M1,,364.0,1810.0985500595305,95.85937499999993,61.59322602129339,0.010416666666666666,171.17745535714272,109.98790360945247
34,CRC169502,Issued - Active,2016-07-05,2032-02-27,Ashburton District Council,EC117558,,CRC165320,nan, ,Ashburton,,4.0,2019-08-20,3.0,2019-03-20,13,2931.0,K37/2789,Active,No,100.0,100.0,1,1,,,,,,,,,,,,365.0,,take surface water,0.0,2931.0,0.0,0.0,NO,"Multiple water permit types (Take, Divert, Dam)",No,1,100.0,,Jul,Jun,,,1,37985760.0,22962,,,,0.0,1101.9034395217834,,37.59479493421301,,26237.0,K37/2789-M1,No data for BY20/0087.,,,,,,,
35,CRC169502,Issued - Active,2016-07-05,2032-02-27,Ashburton District Council,EC117558,,CRC165320,nan, ,Ashburton,,4.0,2019-08-20,3.0,2019-03-20,13,2931.0,K37/2793,Active,No,30.0,30.0,1,1,,1.0,,,,,,,,,,365.0,,take surface water,0.0,2931.0,0.0,0.0,NO,"Multiple water permit types (Take, Divert, Dam)",No,1,30.0,,Jul,Jun,,,1,37985760.0,22962,,,,0.0,1101.9034395217834,,37.59479493421301,,26240.0,K37/2793-M1,No data for K37/2792.,,,,,,,
36,CRC172924,Issued - Active,2016-12-13,2031-11-18,Ngai Tahu Farming Limited,EC363816,,CRC169707,nan, ,Waimakariri,,2.0,2018-11-22,0.0,,1,3360.0,L35/1090,Active,Yes,3360.0,3360.0,1,1,,,,,,No,,,,,,365.0,,take surface water,42374886.0,3360.0,0.0,0.0,YES,Multiple allocation blocks,Yes,1,3360.0,,Jul,Jun,,,1,42374886.0,20345,No data for L35/1090-M1+L35/1090-M1,,,,,,,,22096.0,,No data for L35/1090.,,,,,,,
37,CRC172924,Issued - Active,2016-12-13,2031-11-18,Ngai Tahu Farming Limited,EC363816,,CRC169707,nan, ,Waimakariri,,2.0,2018-11-22,0.0,,1,3360.0,L35/1090,Active,Yes,3360.0,3360.0,1,1,,,,,,No,,,,,,365.0,,take surface water,42374886.0,3360.0,0.0,0.0,YES,Multiple allocation blocks,Yes,1,3360.0,,Jul,Jun,,,1,42374886.0,20345,No data for L35/1090-M1+L35/1090-M1,,,,,,,,22097.0,,No data for L35/1090.,,,,,,,
38,CRC172958,Issued - Active,2016-10-31,2031-12-19,Trustpower Limited,EC373739,,CRC960811.2,nan, ,Selwyn - Waihora,,2.0,2017-03-02,0.0,,1,30000.0,K34/0019,Active,No,30000.0,30000.0,1,1,,,,,,,,,,,,365.0,,take surface water,0.0,30000.0,0.0,0.0,NO,No,Yes,1,30000.0,,Jul,Jun,,,1,943488000.0,20840,No data for K34/0019-M1,,,,,,,,22843.0,,No data for K34/0019.,,,,,,,
39,CRC173064,Issued - Active,2016-10-28,2031-12-19,Trustpower Limited,EC373739,,CRC960822.2,nan, ,Selwyn - Waihora,,3.0,2018-11-23,0.0,,1,50000.0,K34/0020,Active,No,50000.0,50000.0,1,1,1.0,1.0,,,,,,,,,,365.0,,take surface water,0.0,50000.0,0.0,0.0,Yes,"Unclear/poorly constructed conditions (purpose, wording, structure)",No,1,50000.0,,Jul,Jun,,,1,1572480000.0,21883,"No data from  1-Jul-2018 00:00:00 to  1-Jul-2019 00:00:00: Take Rate Allocation for K34/0020-M1 = 50000.00 l/s
",,,,,,,,24391.0,K34/0020-M1,"No data from  1-Jul-2018 00:00:00 to  1-Jul-2019 00:00:00: Take Rate Allocation for K34/0020-M1 = 50000.00 l/s
",,,,,,,
